name,age,club,minor,pa,best,pos,field,bats,HR_mlb,HR,OBP,OPS+,bestP,HR_p,OBP_p,OPS+_p,OPS+_pF,Tpct,c,1b,2b,3b,ss,lf,cf,rf,dh,cP,1bP,2bP,3bP,ssP,lfP,cfP,rfP,dhP,toWAR,toWARP,c_tdWAR,1b_tdWAR,2b_tdWAR,3b_tdWAR,ss_tdWAR,lf_tdWAR,cf_tdWAR,rf_tdWAR,dh_tdWAR,in_list
Mike Boeve,26,MIL,1,0,0.66,lf,,L,,10,0.338,101,1.92,12,0.367,111,-999,1.01,-10.72,0.18,-1.52,-1.4,-5.79,0.66,-1.16,-1.65,-0.18,-9.46,1.44,-0.26,-0.14,-4.53,1.92,0.1,-0.39,1.08,-0.18,1.08,-10.54,0.36,-1.34,-1.22,-5.61,0.84,-0.98,-1.47,0,
Brice Matthews,26,HOU,0,194,3.58,2b,"2B, 3B, RF",R,25,27,0.343,110,3.98,27,0.354,113,113,1.11,-9.13,1.82,3.58,3.42,2.59,2.58,2.11,2.28,1.41,-8.73,2.23,3.98,3.82,2.99,2.98,2.51,2.68,1.81,1.41,1.81,-10.54,0.42,2.17,2.01,1.18,1.17,0.7,0.87,0,
Hayden Federico,22,Free,0,0,-5.74,2b,"2B, LF",S,,6,0.177,56,2.1,10,0.354,106,106,0.67,-17.93,-6.89,-5.74,-6.64,-6.95,-6.45,-7.59,-7.87,-7.39,-10.09,0.95,2.1,1.2,0.88,1.39,0.25,-0.03,0.44,-7.39,0.44,-10.54,0.51,1.66,0.76,0.44,0.95,-0.19,-0.48,0,
Grady Emerson,20,LAA,1,0,0.38,3b,"2B, 3B, LF",L,,12,0.275,84,5.7,22,0.377,119,119,1.22,-13.16,-1.95,-0.04,0.38,-0.53,-1.57,-2.76,-2.82,-2.62,-7.83,3.38,5.28,5.7,4.79,3.75,2.56,2.51,2.7,-2.62,2.7,-10.54,0.67,2.58,3.0,2.09,1.05,-0.14,-0.2,0,
Andrew Costello,21,PHI,1,0,-2.72,c,,R,,8,0.249,75,0.85,17,0.31,97,-999,0.75,-2.72,-4.08,-8.14,-7.87,-12.6,-8.36,-5.69,-7.88,-4.07,0.85,-0.51,-4.57,-4.3,-9.03,-4.79,-2.12,-4.31,-0.5,-4.07,-0.5,1.35,-0.01,-4.07,-3.8,-8.53,-4.29,-1.62,-3.81,0,
Jonah Advincula,27,Free,0,0,-1.16,lf,LF,L,,8,0.298,86,0.48,10,0.328,97,97,0.86,-12.64,-1.86,-4.96,-5.49,-9.48,-1.16,-2.21,-2.59,-2.11,-11.0,-0.22,-3.31,-3.85,-7.83,0.48,-0.57,-0.94,-0.46,-2.11,-0.46,-10.54,0.24,-2.85,-3.38,-7.37,0.95,-0.1,-0.48,0,
Chase Brunson,23,Free,0,0,-3.07,lf,RF,R,,8,0.24,73,0.78,14,0.313,96,96,0.81,-14.67,-3.81,-6.15,-6.97,-11.94,-3.07,-3.45,-3.55,-4.14,-10.83,0.04,-2.31,-3.13,-8.1,0.78,0.4,0.3,-0.29,-4.14,-0.29,-10.54,0.33,-2.02,-2.84,-7.8,1.07,0.69,0.59,0,
Adrian Rodriguez,22,Free,0,0,-7.36,lf,,S,,8,0.154,52,0.77,23,0.317,103,-999,0.52,-18.74,-7.68,-9.15,-8.45,-12.91,-7.36,-9.14,-9.67,-8.2,-10.6,0.45,-1.01,-0.32,-4.78,0.77,-1.01,-1.54,-0.07,-8.2,-0.07,-10.54,0.52,-0.95,-0.25,-4.71,0.84,-0.94,-1.47,0,
Zyhir Hope,23,LAD,1,0,1.08,rf,RF,L,,14,0.308,95,3.12,22,0.34,108,108,1.06,-11.6,-1.04,-4.09,-4.67,-8.75,0.31,0.52,1.08,-1.07,-9.56,1.01,-2.05,-2.63,-6.7,2.36,2.57,3.12,0.98,-1.07,0.98,-10.54,0.03,-3.03,-3.6,-7.68,1.38,1.59,2.15,0,
Anthony Pack Jr.,21,MIL,1,0,0.97,rf,CF,L,,10,0.297,89,2.98,17,0.336,103,103,1.31,-12.18,-1.61,-3.99,-5.25,-8.92,-0.1,0.78,0.97,-1.64,-10.18,0.39,-1.99,-3.24,-6.91,1.9,2.79,2.98,0.36,-1.64,0.36,-10.54,0.03,-2.35,-3.6,-7.27,1.54,2.43,2.61,0,
Dakota Harris,26,STL,1,0,-0.45,lf,LF,S,,12,0.297,93,1.99,12,0.363,109,109,0.94,-11.94,-0.93,-0.82,-1.57,-4.35,-0.45,-1.6,-1.88,-1.4,-9.5,1.52,1.62,0.88,-1.91,1.99,0.85,0.56,1.04,-1.4,1.04,-10.54,0.48,0.58,-0.16,-2.94,0.95,-0.19,-0.48,0,
Jorvorskie Lane Jr.,20,KC,1,0,-2.13,rf,"2B, 3B, RF",R,,8,0.248,74,4.23,17,0.373,115,115,1.07,-9.88,-3.79,-2.52,-2.67,-4.26,-2.89,-2.64,-2.13,-4.27,-3.52,2.56,3.83,3.69,2.09,3.47,3.72,4.23,2.09,-4.27,2.09,-5.61,0.48,1.75,1.6,0.01,1.38,1.63,2.15,0,
Billy Carlson,21,BOS,1,0,2.34,3b,"2B, 3B, RF",R,,12,0.307,92,4.48,13,0.356,108,108,1.23,-11.75,-0.54,1.42,2.34,1.19,0.32,0.57,1.37,-1.21,-9.61,1.61,3.57,4.48,3.33,2.46,2.71,3.51,0.93,-1.21,0.93,-10.54,0.67,2.63,3.55,2.4,1.53,1.78,2.58,0,
Alex Harrington,21,CWS,1,0,0.37,ss,"SS, 3B, LF",R,,12,0.248,78,6.15,22,0.369,117,117,1.15,-13.92,-2.56,-0.14,0.24,0.37,-2.34,-3.48,-3.58,-3.38,-8.15,3.21,5.63,6.01,6.15,3.44,2.3,2.19,2.39,-3.38,2.39,-10.54,0.82,3.24,3.62,3.76,1.05,-0.09,-0.2,0,
Phoenix Call,23,Free,0,0,-5.81,rf,"2B, RF",R,,4,0.173,55,0.51,6,0.321,93,93,0.61,-18.22,-7.2,-6.17,-6.44,-7.89,-6.4,-6.23,-5.81,-7.68,-11.89,-0.88,0.16,-0.11,-1.57,-0.07,0.09,0.51,-1.35,-7.68,-1.35,-10.54,0.48,1.51,1.24,-0.22,1.28,1.44,1.87,0,
Dylan Jasso,25,NYY,1,0,0.24,1b,,R,,17,0.32,99,2.01,22,0.352,110,-999,0.99,-10.84,0.24,-1.48,-1.31,-5.62,-3.1,-2.08,-2.91,-0.3,-9.07,2.01,0.29,0.46,-3.85,-1.33,-0.31,-1.15,1.46,-0.3,1.46,-10.54,0.54,-1.17,-1.01,-5.31,-2.8,-1.77,-2.61,0,
Kaiden Lopez,22,Free,0,0,-7.16,lf,,R,,8,0.154,52,1.61,34,0.311,106,-999,0.52,-18.74,-8.11,-11.79,-11.91,-15.88,-7.16,-8.94,-9.1,-8.2,-9.96,0.66,-3.02,-3.14,-7.11,1.61,-0.17,-0.33,0.57,-8.2,0.57,-10.54,0.09,-3.59,-3.71,-7.68,1.04,-0.74,-0.9,0,
Bryce Boettcher,26,MIN,1,0,0.33,rf,RF,R,,14,0.293,89,0.46,14,0.291,89,89,0.9,-12.21,-1.2,-2.58,-3.23,-7.1,-0.34,-0.09,0.33,-1.67,-12.09,-1.08,-2.45,-3.11,-6.97,-0.22,0.03,0.46,-1.55,-1.67,-1.55,-10.54,0.47,-0.9,-1.56,-5.42,1.33,1.58,2.01,0,
Dillon Moss,20,Free,0,0,-6.36,c,,R,,4,0.173,54,0.89,14,0.316,98,-999,0.54,-6.36,-7.78,-12.05,-11.67,-17.01,-12.16,-9.49,-11.68,-7.87,0.89,-0.53,-4.8,-4.42,-9.76,-4.91,-2.23,-4.43,-0.62,-7.87,-0.62,1.51,0.09,-4.18,-3.8,-9.14,-4.29,-1.62,-3.81,0,
Dylan Dubovik,21,TB,1,0,-2.45,lf,LF,R,,10,0.258,78,2.31,23,0.339,110,110,1.04,-14.03,-2.9,-4.22,-3.37,-7.98,-2.45,-3.54,-3.69,-3.5,-9.27,1.86,0.54,1.4,-3.22,2.31,1.22,1.07,1.27,-3.5,1.27,-10.54,0.59,-0.72,0.13,-4.48,1.05,-0.05,-0.2,0,
Brady Ebel,20,STL,1,0,0.32,3b,3B,L,,12,0.296,89,2.96,28,0.33,108,108,1.29,-12.15,-0.91,-0.76,0.32,-2.64,-0.68,-2.45,-2.8,-1.61,-9.51,1.73,1.88,2.96,-0.0,1.96,0.19,-0.16,1.02,-1.61,1.02,-10.54,0.7,0.86,1.94,-1.03,0.94,-0.84,-1.18,0,
Kevin Verde,22,NYY,1,0,-0.14,2b,,R,,12,0.312,96,0.73,14,0.331,103,-999,0.96,-11.26,-0.43,-0.14,-0.88,-3.66,-4.95,-2.24,-4.53,-0.72,-10.39,0.44,0.73,-0.01,-2.8,-4.09,-1.37,-3.66,0.15,-0.72,0.15,-10.54,0.29,0.58,-0.16,-2.94,-4.24,-1.52,-3.81,0,
Quentin Young,21,TOR,1,0,-0.69,3b,"2B, 3B",R,,14,0.265,83,2.69,23,0.325,104,104,1.11,-13.38,-2.03,-1.72,-0.69,-2.94,-5.49,-4.47,-5.02,-2.84,-10.0,1.35,1.66,2.69,0.44,-2.11,-1.09,-1.64,0.54,-2.84,0.54,-10.54,0.81,1.13,2.15,-0.09,-2.65,-1.62,-2.18,0,
Max Holy,26,MIL,1,0,-0.57,lf,LF,R,,12,0.296,89,0.16,14,0.307,94,94,0.9,-12.15,-1.15,-0.73,-1.04,-3.39,-0.57,-1.75,-1.81,-1.61,-11.42,-0.42,0.0,-0.31,-2.66,0.16,-1.02,-1.08,-0.88,-1.61,-0.88,-10.54,0.47,0.89,0.58,-1.77,1.05,-0.14,-0.2,0,
Brady Day,26,BAL,1,0,-2.04,lf,,L,,10,0.271,83,1.75,12,0.365,109,-999,0.83,-13.41,-2.48,-2.95,-4.23,-7.61,-2.04,-3.81,-4.35,-2.88,-9.62,1.31,0.84,-0.44,-3.82,1.75,-0.02,-0.56,0.91,-2.88,0.91,-10.54,0.4,-0.08,-1.35,-4.74,0.84,-0.94,-1.47,0,
James Wood,25,WSH,0,233,9.43,lf,LF,L,31,47,0.454,154,10.51,47,0.471,159,159,1.57,-2.21,8.91,5.01,5.28,0.75,9.43,8.29,8.28,8.33,-1.13,9.98,6.09,6.35,1.82,10.51,9.36,9.36,9.41,8.33,9.41,-10.54,0.58,-3.32,-3.05,-7.58,1.1,-0.04,-0.05,0,
Javier Francisco,25,CHC,1,0,-0.96,2b,2B,R,,10,0.29,85,-0.96,10,0.29,85,85,0.87,-12.78,-1.69,-0.96,-1.78,-3.07,-6.48,-3.76,-6.05,-2.24,-12.78,-1.69,-0.96,-1.78,-3.07,-6.48,-3.76,-6.05,-2.24,-2.24,-2.24,-10.54,0.55,1.28,0.46,-0.83,-4.24,-1.52,-3.81,0,
Thomas Saggese,26,TOR,0,367,1.16,lf,,R,17,17,0.323,103,2.99,23,0.355,115,-999,1.03,-10.21,0.68,0.72,0.69,-1.94,1.16,-0.65,-1.15,0.33,-8.38,2.51,2.55,2.53,-0.11,2.99,1.18,0.68,2.16,0.33,2.16,-10.54,0.35,0.39,0.37,-2.26,0.84,-0.98,-1.47,0,
L.J. Jones,29,Free,0,0,-0.52,1b,,R,,12,0.312,96,1.34,23,0.339,111,-999,0.96,-11.26,-0.52,-3.86,-3.55,-7.99,-4.63,-2.09,-4.19,-0.72,-9.39,1.34,-1.99,-1.68,-6.12,-2.76,-0.23,-2.33,1.15,-0.72,1.15,-10.54,0.19,-3.14,-2.83,-7.27,-3.91,-1.37,-3.48,0,
Ocean Gabonia,26,CHC,1,0,-9.18,1b,,R,,4,0.153,47,-7.96,6,0.171,53,-999,0.47,-19.75,-9.18,-13.96,-12.96,-17.26,-13.65,-10.83,-13.26,-9.22,-18.54,-7.96,-12.75,-11.74,-16.05,-12.43,-9.61,-12.05,-8.0,-9.22,-8.0,-10.54,0.04,-4.75,-3.75,-8.05,-4.43,-1.61,-4.05,0,
Andrew Patrick,25,CIN,1,0,-0.6,lf,RF,R,,17,0.287,88,0.62,17,0.31,95,95,0.9,-12.4,-1.27,-2.65,-2.32,-6.68,-0.6,-1.02,-0.71,-1.87,-11.18,-0.06,-1.43,-1.11,-5.46,0.62,0.2,0.51,-0.65,-1.87,-0.65,-10.54,0.59,-0.78,-0.46,-4.81,1.27,0.85,1.16,0,
Derek Curiel,23,Free,0,0,-3.86,rf,CF,L,,4,0.204,61,2.35,6,0.34,100,100,0.75,-17.01,-6.37,-11.34,-11.33,-15.14,-4.94,-4.05,-3.86,-6.48,-10.8,-0.15,-5.13,-5.11,-8.92,1.28,2.16,2.35,-0.26,-6.48,-0.26,-10.54,0.11,-4.87,-4.85,-8.66,1.54,2.43,2.61,0,
Theo Gillen,22,PHI,0,370,2.42,rf,"2B, RF",L,7,17,0.334,104,2.42,17,0.334,104,104,1.25,-10.12,1.08,2.28,1.66,0.41,1.75,2.0,2.42,0.42,-10.12,1.08,2.28,1.66,0.41,1.75,2.0,2.42,0.42,0.42,0.42,-10.54,0.67,1.86,1.24,-0.01,1.33,1.58,2.01,0,
Andre Modugno,22,Free,0,0,-5.85,1b,,R,,10,0.181,61,3.06,40,0.324,117,-999,0.61,-17.08,-5.85,-7.24,-6.59,-10.38,-9.39,-8.37,-9.3,-6.54,-8.17,3.06,1.68,2.32,-1.47,-0.48,0.54,-0.38,2.37,-6.54,2.37,-10.54,0.7,-0.69,-0.04,-3.83,-2.85,-1.82,-2.75,0,
Cade Arrambide,22,Free,0,0,-6.2,c,,R,,6,0.154,51,1.46,23,0.295,96,-999,0.51,-6.2,-8.23,-12.54,-11.27,-15.47,-11.15,-10.12,-10.68,-8.5,1.46,-0.57,-4.88,-3.62,-7.81,-3.49,-2.46,-3.02,-0.84,-8.5,-0.84,2.3,0.27,-4.04,-2.77,-6.97,-2.65,-1.62,-2.18,0,
Aiden Harris,21,Free,0,0,-6.98,lf,,R,,10,0.155,54,0.81,29,0.292,102,-999,0.54,-18.4,-7.31,-9.75,-8.74,-14.26,-6.98,-8.88,-9.2,-7.87,-10.62,0.48,-1.97,-0.95,-6.47,0.81,-1.1,-1.41,-0.08,-7.87,-0.08,-10.54,0.56,-1.89,-0.87,-6.39,0.88,-1.02,-1.33,0,
Bryce Eldridge,23,SF,0,0,2.43,lf,,L,30,28,0.34,111,2.43,28,0.34,111,-999,1.11,-9.09,2.02,-1.81,-1.06,-5.83,2.43,0.62,0.4,1.45,-9.09,2.02,-1.81,-1.06,-5.83,2.43,0.62,0.4,1.45,1.45,1.45,-10.54,0.58,-3.26,-2.5,-7.28,0.99,-0.83,-1.04,0,
Colt Emerson,22,SEA,0,211,2.04,2b,"2B, 3B, RF",L,8,12,0.321,97,2.24,14,0.322,99,99,1.17,-2.14,0.15,2.04,1.97,1.31,0.69,0.26,0.39,-0.48,-1.94,0.35,2.24,2.17,1.51,0.89,0.47,0.59,-0.28,-0.48,-0.28,-1.66,0.63,2.52,2.45,1.79,1.17,0.75,0.87,0,
Coy James,21,DET,1,0,0.45,2b,"2B, LF",R,,12,0.294,88,2.05,14,0.325,99,99,1.17,-2.77,-1.37,0.45,-0.14,-0.54,-1.05,-2.15,-2.48,-2.0,-1.17,0.22,2.05,1.46,1.06,0.55,-0.55,-0.88,-0.4,-2.0,-0.4,-0.76,0.63,2.45,1.86,1.46,0.95,-0.15,-0.48,0,
Payton Green,25,COL,1,0,-1.12,3b,3B,R,,14,0.268,85,1.73,29,0.31,105,105,0.87,-12.82,-1.63,-1.33,-1.12,-3.73,-1.35,-3.16,-3.47,-2.28,-9.97,1.23,1.52,1.73,-0.88,1.51,-0.31,-0.61,0.57,-2.28,0.57,-10.54,0.66,0.95,1.16,-1.45,0.94,-0.88,-1.18,0,
Vance Honeycutt,25,BAL,0,0,2.56,cf,CF,R,12,16,0.313,94,4.26,27,0.334,107,107,1.07,-11.25,-0.13,-1.19,-1.86,-4.96,1.21,2.56,2.19,-0.71,-9.55,1.56,0.5,-0.16,-3.26,2.91,4.26,3.89,0.98,-0.71,0.98,-10.54,0.58,-0.48,-1.15,-4.25,1.92,3.27,2.91,0,
Kahlil Watson,25,PHI,0,203,0.95,2b,"3B, LF",L,20,22,0.3,96,0.95,22,0.3,96,96,0.98,-11.23,-0.33,0.95,0.9,-1.33,0.3,-0.84,-1.04,-0.7,-11.23,-0.33,0.95,0.9,-1.33,0.3,-0.84,-1.04,-0.7,-0.7,-0.7,-10.54,0.36,1.65,1.6,-0.64,1.0,-0.14,-0.34,0,
Will Taylor,25,PIT,1,0,1.49,rf,CF,R,,12,0.307,93,1.49,12,0.307,93,93,1.06,-11.81,-1.36,-5.74,-5.73,-9.93,0.32,1.21,1.49,-1.27,-11.81,-1.36,-5.74,-5.73,-9.93,0.32,1.21,1.49,-1.27,-1.27,-1.27,-10.54,-0.09,-4.47,-4.46,-8.66,1.59,2.48,2.76,0,
T.J. White,24,WSH,1,0,-0.32,lf,,S,,17,0.3,92,0.42,22,0.303,97,-999,0.92,-11.74,-0.89,-4.34,-4.03,-8.47,-0.32,-2.18,-2.53,-1.2,-11.0,-0.15,-3.6,-3.29,-7.73,0.42,-1.44,-1.79,-0.46,-1.2,-0.46,-10.54,0.31,-3.14,-2.83,-7.27,0.88,-0.97,-1.33,0,
Gavin Conticello,25,AZ,1,0,0.99,lf,LF,L,,12,0.331,100,1.57,17,0.336,105,105,1.02,-10.6,0.44,-1.34,-0.73,-5.36,0.99,-0.2,-0.26,-0.06,-10.01,1.03,-0.76,-0.14,-4.77,1.57,0.39,0.33,0.53,-0.06,0.53,-10.54,0.5,-1.28,-0.67,-5.3,1.05,-0.14,-0.2,0,
Edwin Arroyo,24,CIN,1,0,1.83,2b,"2B, 3B",S,,14,0.312,97,1.83,14,0.312,97,97,1.04,-11.04,0.13,1.83,1.74,0.6,0.43,-1.34,-1.69,-0.51,-11.04,0.13,1.83,1.74,0.6,0.43,-1.34,-1.69,-0.51,-0.51,-0.51,-10.54,0.64,2.34,2.24,1.1,0.94,-0.84,-1.18,0,
Teo Banks,25,WSH,1,0,-0.81,lf,RF,R,,14,0.283,87,0.98,23,0.304,99,99,0.89,-12.61,-1.88,-6.96,-6.04,-10.65,-0.81,-1.19,-0.92,-2.08,-10.82,-0.09,-5.17,-4.25,-8.86,0.98,0.6,0.87,-0.29,-2.08,-0.29,-10.54,0.2,-4.88,-3.96,-8.57,1.27,0.89,1.16,0,
Kevin Bazzell,25,WSH,1,0,-0.41,1b,,R,,13,0.319,96,0.28,17,0.329,101,-999,0.96,-0.52,-0.41,-1.2,-0.68,-5.1,-3.51,-2.48,-3.13,-0.81,0.17,0.28,-0.51,0.01,-4.4,-2.82,-1.79,-2.44,-0.12,-0.81,-0.12,0.29,0.4,-0.39,0.13,-4.29,-2.7,-1.67,-2.32,0,
Cameron Cauley,25,TEX,0,318,3.1,3b,"2B, 3B, RF",R,20,17,0.326,102,3.1,17,0.326,102,102,1.04,-10.43,0.61,2.68,3.1,2.2,1.43,1.0,1.41,0.11,-10.43,0.61,2.68,3.1,2.2,1.43,1.0,1.41,0.11,0.11,0.11,-10.54,0.51,2.58,3.0,2.09,1.32,0.9,1.3,0,
Ryan Cepero,25,Free,0,0,-7.47,2b,"2B, LF",R,,4,0.143,47,0.16,10,0.313,94,94,0.48,-19.34,-8.3,-7.47,-7.79,-9.33,-7.76,-8.9,-9.0,-8.8,-11.71,-0.67,0.16,-0.16,-1.7,-0.13,-1.27,-1.37,-1.17,-8.8,-1.17,-10.54,0.5,1.34,1.02,-0.53,1.05,-0.09,-0.2,0,
Casey Cook,25,TEX,1,0,-1.08,lf,LF,L,,14,0.283,87,0.51,17,0.308,96,96,0.89,-12.61,-1.61,-1.25,-2.05,-4.16,-1.08,-2.17,-2.41,-2.08,-11.02,-0.02,0.34,-0.46,-2.56,0.51,-0.58,-0.82,-0.48,-2.08,-0.48,-10.54,0.47,0.83,0.03,-2.08,1.0,-0.1,-0.34,0,
Jacob Cozart,25,MIL,1,0,-0.69,c,,L,,14,0.284,88,0.57,17,0.312,97,-999,0.88,-0.69,-1.38,-3.78,-2.76,-8.28,-5.92,-3.21,-5.21,-1.89,0.57,-0.12,-2.51,-1.49,-7.02,-4.66,-1.94,-3.95,-0.63,-1.89,-0.63,1.2,0.51,-1.89,-0.87,-6.39,-4.04,-1.32,-3.32,0,
Ty Evans,25,PIT,1,0,-1.32,lf,LF,R,,14,0.276,86,0.81,23,0.304,99,99,0.88,-12.95,-2.18,-6.43,-5.36,-9.88,-1.32,-2.5,-2.46,-2.42,-10.82,-0.06,-4.3,-3.23,-7.75,0.81,-0.37,-0.34,-0.29,-2.42,-0.29,-10.54,0.23,-4.02,-2.94,-7.46,1.1,-0.09,-0.05,0,
Randal Diaz,25,SD,0,312,1.79,2b,"2B, 3B, LF",R,19,17,0.31,97,1.79,17,0.31,97,97,0.99,-11.1,0.02,1.79,1.68,0.93,0.49,-0.7,-0.76,-0.56,-11.1,0.02,1.79,1.68,0.93,0.49,-0.7,-0.76,-0.56,-0.56,-0.56,-10.54,0.58,2.35,2.24,1.49,1.05,-0.14,-0.2,0,
Cole Mathis,24,WSH,1,0,-0.26,1b,,R,,13,0.326,98,1.07,22,0.342,109,-999,0.98,-11.04,-0.26,-3.46,-1.64,-6.83,-4.26,-1.72,-3.55,-0.5,-9.71,1.07,-2.13,-0.31,-5.5,-2.93,-0.39,-2.22,0.83,-0.5,0.83,-10.54,0.24,-2.96,-1.14,-6.33,-3.76,-1.22,-3.05,0,
Nick McLain,25,CWS,1,91,2.71,rf,RF,S,5,12,0.347,104,2.71,12,0.347,104,104,1.06,-10.12,0.65,-0.1,-0.59,-4.5,1.85,2.06,2.71,0.42,-10.12,0.65,-0.1,-0.59,-4.5,1.85,2.06,2.71,0.42,0.42,0.42,-10.54,0.23,-0.51,-1.01,-4.92,1.43,1.64,2.3,0,
Jaime Ferrer,25,HOU,1,0,0.62,lf,LF,R,,28,0.298,100,2.8,28,0.344,113,113,1.02,-6.19,-0.09,-3.36,-1.14,-6.36,0.62,-0.52,-0.62,-0.42,-4.01,2.08,-1.18,1.03,-4.18,2.8,1.66,1.56,1.76,-0.42,1.76,-5.77,0.33,-2.93,-0.72,-5.93,1.05,-0.09,-0.2,0,
Drew Gray,25,CHC,1,0,-7.51,lf,,L,,6,0.153,51,-3.03,14,0.228,74,-999,0.51,-18.93,-8.13,-12.22,-11.0,-15.67,-7.51,-9.28,-9.72,-8.39,-14.45,-3.66,-7.74,-6.52,-11.19,-3.03,-4.8,-5.25,-3.91,-8.39,-3.91,-10.54,0.26,-3.83,-2.61,-7.28,0.88,-0.89,-1.33,0,
Noah Miller,25,CHC,0,349,4.17,3b,"2B, 3B",S,11,12,0.355,107,4.17,12,0.355,107,107,1.09,-9.57,1.56,3.78,4.17,3.54,1.8,0.02,-0.51,0.96,-9.57,1.56,3.78,4.17,3.54,1.8,0.02,-0.51,0.96,0.96,0.96,-10.54,0.6,2.82,3.21,2.58,0.84,-0.94,-1.47,0,
Colson Montgomery,26,CWS,0,295,2.02,3b,3B,L,19,16,0.348,102,2.02,16,0.348,102,102,1.03,-9.91,1.33,1.76,2.02,-0.51,-2.12,-1.1,-1.84,0.63,-9.91,1.33,1.76,2.02,-0.51,-2.12,-1.1,-1.84,0.63,0.63,0.63,-10.54,0.7,1.13,1.39,-1.14,-2.75,-1.73,-2.47,0,
David Mershon,25,NYY,0,272,2.93,rf,RF,S,12,9,0.377,109,2.93,9,0.377,109,109,1.11,-9.47,1.31,2.24,1.52,-0.41,2.34,2.55,2.93,1.06,-9.47,1.31,2.24,1.52,-0.41,2.34,2.55,2.93,1.06,1.06,1.06,-10.54,0.25,1.17,0.46,-1.48,1.28,1.49,1.87,0,
Hudson White,25,PIT,1,57,0.39,c,C,R,6,14,0.278,85,2.04,17,0.312,98,98,0.97,0.39,-2.16,-6.69,-6.54,-10.1,-6.66,-3.8,-6.06,-2.33,2.04,-0.51,-5.04,-4.89,-8.45,-5.01,-2.15,-4.41,-0.68,-2.33,-0.68,2.73,0.17,-4.35,-4.21,-7.76,-4.33,-1.46,-3.73,0,
PJ Morlando,22,MIA,1,0,0.21,lf,RF,L,,14,0.309,94,2.85,28,0.346,113,113,1.13,-2.36,-0.58,-4.17,-2.53,-7.56,0.21,-0.3,0.0,-1.01,0.28,2.06,-1.53,0.11,-4.92,2.85,2.34,2.64,1.63,-1.01,1.63,-1.35,0.43,-3.16,-1.52,-6.55,1.22,0.71,1.01,0,
Ty Southisene,23,LAA,1,0,1.37,2b,"2B, LF",R,,6,0.343,100,1.37,6,0.343,100,100,1.11,-11.03,-0.13,1.37,0.75,-0.5,0.51,-0.68,-0.83,-0.49,-11.03,-0.14,1.37,0.74,-0.5,0.5,-0.68,-0.83,-0.49,-0.49,-0.49,-10.54,0.36,1.86,1.24,-0.01,1.0,-0.19,-0.34,0,
Michael Mullinax,23,Free,0,0,-6.4,rf,RF,S,,6,0.149,49,1.8,17,0.31,97,97,0.54,-19.1,-8.62,-13.47,-12.88,-17.41,-7.27,-7.15,-6.4,-8.7,-10.9,-0.42,-5.27,-4.69,-9.21,0.93,1.05,1.8,-0.5,-8.7,-0.5,-10.4,0.08,-4.77,-4.19,-8.71,1.43,1.55,2.3,0,
Cam Collier,23,CIN,0,356,4.11,3b,,L,34,34,0.36,121,4.56,34,0.371,124,-999,1.21,-7.87,3.11,2.23,4.11,-0.91,0.02,1.04,0.49,2.67,-7.42,3.56,2.68,4.56,-0.46,0.47,1.49,0.93,3.11,2.67,3.11,-10.54,0.44,-0.44,1.44,-3.58,-2.65,-1.62,-2.18,0,
Aidan Miller,24,TOR,0,209,1.66,3b,3B,R,17,14,0.322,99,2.46,17,0.336,105,105,1.06,-10.81,0.28,0.58,1.66,-1.31,0.71,-1.11,-1.32,-0.28,-10.01,1.09,1.38,2.46,-0.5,1.51,-0.3,-0.52,0.53,-0.28,0.53,-10.54,0.56,0.86,1.94,-1.03,0.99,-0.83,-1.04,0,
Angel Cepeda,22,CHC,1,0,-2.03,2b,2B,R,,8,0.256,76,-0.84,8,0.279,83,83,0.92,-14.25,-3.21,-2.03,-2.7,-4.03,-2.88,-4.69,-5.19,-3.71,-13.06,-2.02,-0.84,-1.51,-2.84,-1.69,-3.5,-4.0,-2.52,-3.71,-2.52,-10.54,0.5,1.69,1.02,-0.32,0.84,-0.98,-1.47,0,
Walker Jenkins,23,MIN,0,363,5.42,lf,RF,L,18,16,0.431,130,8.31,38,0.459,152,152,1.44,-6.44,4.32,-0.55,-0.0,-3.98,5.42,4.95,5.4,4.1,-3.54,7.22,2.34,2.89,-1.09,8.31,7.84,8.29,6.99,4.1,6.99,-10.54,0.22,-4.65,-4.1,-8.08,1.32,0.85,1.3,0,
Owen Paino,22,Free,0,0,-5.06,3b,"2B, 3B",L,,6,0.189,58,2.99,17,0.347,106,106,0.7,-17.42,-6.22,-5.64,-5.06,-6.97,-9.69,-8.66,-9.5,-6.89,-9.37,1.84,2.42,2.99,1.08,-1.63,-0.61,-1.44,1.17,-6.89,1.17,-10.54,0.67,1.25,1.82,-0.09,-2.8,-1.77,-2.61,0,
Bryce Clavon,22,Free,0,0,-6.35,2b,"2B, RF",R,,4,0.154,49,2.9,14,0.347,106,106,0.59,-19.12,-8.0,-6.35,-7.48,-7.72,-7.25,-7.13,-6.57,-8.58,-9.86,1.26,2.9,1.77,1.54,2.01,2.13,2.68,0.68,-8.58,0.68,-10.54,0.58,2.23,1.1,0.86,1.33,1.45,2.01,0,
